축산일련번호,축산업무구분명,사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,주사육업종,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
51,가축사육업,용인양계,,234115.555926678,401048.735319779,2026-04-15 03:03:03,U,0000,정상,2026-04-14 15:36:31,,2005-10-31,0,449-864,경기도 용인시 처인구 백암면 석천리 **,405000003320050004,4050000,산란육성계,000,경기도 용인시 처인구 백암면 삼백로 ***-**,,,01,영업/정상,,,
576,가축사육업,선진농장,,152773.662383666,461954.125317696,2026-04-15 03:03:03,U,0000,정상,2026-04-14 09:49:07,,2009-05-04,0,417-852,인천광역시 강화군 양도면 길정리 ***-*,357000003320090016,3570000,한우,000,,,,01,영업/정상,,,
38,가축사육업,농업회사법인 나래 주식회사,,252134.538436474,409368.106481172,2026-04-15 03:03:03,U,0000,정상,2026-04-14 09:56:19,,2004-04-10,0,467-901,경기도 이천시 장호원읍 나래리 *** 외 **필지,407000003320040015,4070000,종계/산란계,000,경기도 이천시 장호원읍 나래천로***번길 ***,17414,,01,영업/정상,,,
219,가축사육업,미래농장,,340148.774446375,517409.158759976,2026-04-15 03:03:03,U,0000,정상,2026-04-14 16:33:50,,2008-07-11,0,215-851,강원특별자치도 양양군 강현면 정암리 ***-**,435000003320080140,4351000,한우,000,,,,01,영업/정상,,,
